Q3624078	sovereign state
Q43702	federal state
Q6256	country
Q20181813	colonial power
Q5	human
Q15632617	fictional human
Q15773317	television character
Q33120876	Wikimedia content project
Q638153	semantic wiki
Q593744	knowledge base
Q36509592	wiki with script conversion
Q7094076	online database
Q14827288	Wikimedia project
Q33002955	knowledge graph
Q15633582	MediaWiki website
Q5107	continent
Q82794	geographic region
Q7366	song
Q1138494	historic county of England
Q3502482	cultural region
Q67376938	historic county of the United Kingdom
Q112099	island nation
Q179164	unitary state
Q51576574	Mediterranean country
Q484170	commune of France
Q1549591	big city
Q10876391	Wikipedia language edition
Q5292	encyclopedia
Q22670030	former French region
Q36784	region of France
Q207694	art museum
Q1330974	active volcano
Q169358	stratovolcano
Q570116	tourist attraction
Q206717	planetary system
Q7543083	avenue
Q54114	boulevard
Q5119	capital
Q755707	municipality of Norway
Q192299	county of Norway
Q515	city
Q1306755	administrative centre
Q22865	independent city of Germany
Q253030	major regional center
Q1901835	seat of government
Q1180262	residenz
Q1187811	college town
Q537250	federal city
Q42744322	urban municipality of Germany
Q1197685	public holiday
Q375011	religious festival
Q1062856	anniversary
Q11424	film
Q13217644	municipality of Portugal
Q15647906	city of Portugal
Q4022	river
Q23718	cardinal direction
Q134390	province of the Netherlands
Q13539802	place with town rights and privileges
Q677678	fortified town
Q1852859	populated place in the Netherlands
Q707813	Hanseatic city
Q70208	municipality of Switzerland
Q14770218	cantonal capital of Switzerland
Q54935504	city of Switzerland
Q123480	landlocked country
Q849866	communist state
Q277759	book series
Q24856	film series
Q196600	media franchise
Q559618	fictional universe
Q41614	constitutional monarchy
Q7930989	city/town
Q3024240	historical country
Q50330360	second largest city
Q51929311	largest city
Q1637706	city with millions of inhabitants
Q192287	administrative territorial entity of Russia
Q949819	ship canal
Q23442	island
Q7270	republic
Q160016	Member states of the United Nations
Q783733	unincorporated territory
Q462778	insular area
Q1048835	political territorial entity
Q7252696	Provincial deputation in Spanish America
Q1352230	territory of the United States
Q1221156	state of Germany
Q35657	state of the United States
Q46831	mountain range
Q1093829	city of the United States
Q573344	main stream
Q13390680	state of India
Q56242215	Catholic cathedral
Q866196	episcopal see
Q29946056	highly urbanized city
Q104157	city of the Philippines
Q165	sea
Q14784328	state capital in Germany
Q262166	municipality of Germany
Q61856863	urban district in Schleswig-Holstein
Q15253706	like a city
Q6882870	location with spa
Q61980648	Urban District of Hesse
Q47530375	governorate of the Russian Empire
Q15733039	governorate of the Russian Soviet Federative Socialist Republic
Q933394	exclave
Q835714	oblast of Russia
Q200250	metropolis
Q856076	municipality of Finland
Q5098	Provinces of Indonesia
Q11828004	province of Canada
Q3750285	administrative territorial entity of Canada
Q55488	railway station
Q577	year
Q476028	association football club
Q41162	republic of Russia
Q19828	leap year
Q21507383	provincial or territorial capital city in Canada
Q55440238	city in Alberta
Q590080	region of Chile
Q2327515	city district
Q95074	fictional character
Q2000106	Saiyan
Q15711870	animated character
Q7188	government
Q1840161	commune of Chile
Q719506	Maiar
Q3658341	literary character
Q15773347	film character
Q134556	single
Q209163	expansion pack
Q10864048	first-level administrative country subdivision
Q198	war
Q1827102	religious war
Q14406742	comic book series
Q747074	comune of Italy
Q106658	rural district of Germany
Q15145593	tram line
Q1062177	capital region
Q61856889	district of Schleswig-Holstein
Q56061	administrative territorial entity
Q474	aqueduct
Q839954	archaeological site
Q6465	department of France
Q192611	constituency
Q2354973	road tunnel
Q702842	municipal arrondissement
Q15105893	town in Croatia
Q783953	territorial claims in Antarctica
Q831740	krai of Russia
Q25412763	city in Chile
Q2264924	port city
Q1907114	metropolitan area
Q202216	overseas department of France
Q1780506	commune of Benin
Q3678424	city with special status
Q15632166	city part of Cologne
Q902814	border town
Q134626	district capital
Q25412766	town of Chile
Q1548518	large district town
Q10742	autonomous community of Spain
Q2736168	historical nationality
Q6266	nation
Q3455524	administrative region
Q1401585	medium regional center
Q14645593	rugby union team
Q54935786	medium district town
Q4946461	spa town
Q532	village
Q3957	town
Q6489113	large burgh
Q1256805	Drei-Flüsse-Stadt
Q1437459	non-geologically related mountain range
Q245065	intergovernmental organization
Q5741069	rock band
Q506240	television film
Q902104	private university
Q15936437	research university
Q23002054	private not-for-profit educational institution
Q45400320	open-access publisher
Q21191270	television series episode
Q27020041	sports season
Q378427	literary award
Q4830453	business
Q6881511	enterprise
Q558330	municipality of Cuba
Q4167836	Wikimedia category
Q217101	spit
Q1969226	national park of Russia
Q1959314	protected area of Russia
Q193512	region of Finland
Q3191695	regency of Indonesia
Q3199141	city of Indonesia
Q33837	archipelago
Q26934845	integral overseas territory
Q250811	sub-province-level division
Q2074737	municipality of Spain
Q11939023	population nucleus (Spain)
Q5398426	television series
Q678552	Imperial Cathedral
Q15991290	professional sports league
Q59134440	rugby union competition
Q63440326	city of Oregon
Q62049	county seat
Q61793460	district of Brandenburg
Q7725634	literary work
Q67123843	town divided by border
Q8502	mountain
Q43229	organization
Q484652	international organization
Q17272482	time zone named for a UTC offset
Q12143	time zone
Q578	century
Q12857432	Chinese dynasty
Q50068795	historical Chinese state
Q162620	province of Spain
Q11514315	historical period
Q7278	political party
Q15811108	Führerpartei
Q183342	federal city of Russia
Q5124045	city with special status
Q4391987	region of Ukraine
Q5123999	city of regional significance of Ukraine
Q13416557	Royal city
Q56580425	city of oblast significance
Q431603	advocacy group
Q1262438	international court
Q15899789	principal organ of the United Nations
Q61980413	district of Hesse
Q829277	government region of North Rhine-Westphalia
Q1850612	government region of Prussia
Q2198484	municipal district
Q1058914	software company
Q1137109	video game publisher
Q42612577	government region of Baden-Württemberg
Q208569	studio album
Q22746	urban park
Q62685721	pedestrian street
Q159821	Summer Olympic Games
Q483110	stadium
Q180684	conflict
Q19311591	Golden Globe Award ceremony
Q644371	international airport
Q1248784	airport
Q20639856	professional sports team
Q253019	Ortsteil
Q18600372	borough of Dresden
Q676050	old town
Q2740635	Stadtbezirk
Q313301	Autobahn in Germany
Q876102	zone of Nepal
Q15284	municipality
Q83057	region of Belgium
Q4182287	web search engine
Q891723	public company
Q82414	Winter Olympic Games
Q1110794	daily newspaper
Q1153191	online newspaper
Q2039348	municipality of the Netherlands
Q2623733	fictional language
Q33215	constructed language
Q278379	a priori language
Q276	Eurovision Song Contest
Q9212979	musical duo
Q15944511	association football team
Q2412834	reserve team
Q464235	regional district in Bavaria
Q22721	Regierungsbezirk
Q7058673	video game series
Q17364572	district of Northern Ireland
Q1497364	building complex
Q738570	central business district
Q928830	metro station
Q22808403	station located underground
Q183197	spreadsheet
Q377688	type foundry
Q59859818	data controller
Q3863	asteroid
Q79007	street
Q5154047	quarter/commune of Cambodia
Q7138926	parliament building
Q699	fairy tale
Q9734	symphony
Q28542014	one-of-a-kind computer
Q121117	supercomputer
Q124936	major basilica
Q2713379	papal basilica
Q48349	empire
Q33146843	municipality of Catalonia
Q24746	province of the Philippines
Q23058	canton of Switzerland
Q24764	municipality of the Philippines
Q15273785	Belgian municipality with city privileges
Q493522	municipality of Belgium
Q2785216	Municipality section
Q3551775	university in France
Q46395	British Overseas Territories
Q2555896	municipality of Colombia
Q24698	region of the Philippines
Q11032	newspaper
Q171441	enclave
Q11881845	town
Q1616075	television station
Q1061197	radio network
Q17308006	island of Japan
Q184188	canton of France (until 2015)
Q16521	taxon
Q23397	lake
Q14811181	area not part of a municipality of Switzerland
Q102192	fresh water
Q123705	neighborhood
Q448801	big district town
Q15089	province of Italy
Q1149652	district of India
Q937876	comarca of Catalonia
Q62078547	public research university
Q494721	city of Japan
Q10517054	handball team
Q167170	multi-sport event
Q215380	musical group
Q2267870	independent community
Q3924474	former provinces of Italy
Q728937	railway line
Q15079663	rapid transit railway line
Q1067164	transport line
Q482994	album
Q257978	statutory city
Q15978299	municipality with town privileges in the Czech Republic
Q5153359	municipality of the Czech Republic
Q12031379	capital of region
Q8452914	district town
Q7841907	municipality with authorized municipal office
Q21518270	state or insular area capital in the United States
Q56059	department of Uruguay
Q954172	Comune sparso
Q3918	university
Q1615742	province of China
Q6979593	national association football team
Q7889	video game
Q740752	transport company
Q194203	arrondissement of France
Q6539177	aircraft shootdown
Q18279	canton of the Federation of Bosnia and Herzegovina
Q2537	natural satellite
Q2152	moon of Uranus
Q15991303	association football league
